id,raw_text,price_etb,image_url,listing_url,source_platform
11,"ETB 175,000 Warehouse for Rent in Kaliti Aa Warehouse for rent Total area = 700 sq Warehouse area=350 sq Electric Power = 24kw G+1... Semi-Furnished 700 sqm Addis Ababa, Akaky Kaliti",175000,https://pictures-ethiopia.jijistatic.com/7670357_MzAwLTE1OC0zZjRkN2M5NzRlLTE.webp,https://jiji.com.et/akaky-kaliti/commercial-property-for-rent/warehouse-for-rent-in-kaliti-aa-jRDSL565Br0YeKMPxhNYJo3L.html?page=2&pos=6&cur_pos=6&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=29,Jiji Ethiopia
12,"3+ YEARS ON JIJI DIAMOND ETB 120,000 per month Furnished 3bdrm Apartment in Bole for rent Modern Fully Furnished Apartment for Rent in Bole Enjoy comfort and convenience in this beautifully... Addis Ababa, Bole",120000,https://pictures-ethiopia.jijistatic.com/9503521_MzAwLTIyNS04Mzc0ZDY3NGEx.webp,https://jiji.com.et/bole/houses-apartments-for-rent/furnished-3bdrm-apartment-in-bole-for-rent-nGe9nLGUOdEEdw2szd4gwmUn.html?page=2&pos=9&cur_pos=9&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=32,Jiji Ethiopia
13,"3+ YEARS ON JIJI ETB 380,000 ለክራይ የቀረበ መጋዘን ነዉ የሚከራይ መጋዘን ቃሊቲ አከባቢ 650ካሬ የጋራ ጊቢ ማብራት 315አለዉ Agent Unfurnished Addis Ababa, Akaky Kaliti",380000,https://pictures-ethiopia.jijistatic.com/8181767_MzAwLTEzNS1lY2EwNDQwNjA0.webp,https://jiji.com.et/akaky-kaliti/commercial-property-for-rent/lakeraaye-yaqaraba-magaazane-nawu-ufstKWyWhfjtpUmoYmACzq3M.html?page=2&pos=11&cur_pos=11&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=34,Jiji Ethiopia
14,"3+ YEARS ON JIJI ETB 320,000 የሚከራይ መጋዘን አለ የሚከራይ መጋዘን አለ 600ካሬ ጠቅላላ 1200 ካሬ ነዉ Agent Unfurnished Addis Ababa, Bole",320000,https://pictures-ethiopia.jijistatic.com/6256913_MzAwLTEzNS02NmQ2YzJhZTkw.webp,https://jiji.com.et/bole/commercial-property-for-rent/yamikaraaye-magaazane-ala-l28UWYDyBVruuuscxL1om8s0.html?page=2&pos=14&cur_pos=14&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=37,Jiji Ethiopia
15,"3+ YEARS ON JIJI DIAMOND ETB 70,000 per month 2bdrm Apartment in Chaka Buna, Bole for rent New building on 6th floor Lift and generator available Big opeb space as common area on the top... Addis Ababa, Bole",70000,https://pictures-ethiopia.jijistatic.com/9428627_MzAwLTQwMC1kZmI3YjY3NDg4.webp,https://jiji.com.et/bole/houses-apartments-for-rent/2bdrm-apartment-in-chaka-buna-bole-for-rent-19C4pep0XyXOCrSmeedfvyfX.html?page=2&pos=17&cur_pos=17&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=40,Jiji Ethiopia
16,"3+ YEARS ON JIJI ETB 60,000 ለክራይ ቀረበ መጋዘን የሚከራይ ቢሮ አለ ወሰን አከባቢ ከአስፓልት ገባ ያለነዉ Unfurnished 130 sqm Addis Ababa, Bole",60000,https://pictures-ethiopia.jijistatic.com/3336248_MzAwLTY2Ny0zNDk3NWI2MmRj.webp,https://jiji.com.et/bole/commercial-property-for-rent/lakeraaye-qaraba-magaazane-8yKkuoQNeBIvXfb0J5XE2qAQ.html?page=2&pos=20&cur_pos=20&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=43,Jiji Ethiopia
17,"ETB 190,000 የሚከራይ መጋዘን CMC የተባበሩት አከባቢ Warehouse for Rent Around CMC Addis Ababa Warehouse for Rent CMC area የሚከራይ መጋዘን አዲስ አበባ ለከባድ ተሽከርካሪ ምቹ አከባቢ Warehouse =400 square.m ◉ Near... Unfurnished 400 sqm Addis Ababa, Bole",190000,https://pictures-ethiopia.jijistatic.com/8802227_MzAwLTE5OC1lNjZlZTAyOTIx.webp,https://jiji.com.et/bole/commercial-property-for-rent/yamikaraaye-magaazane-cmc-yatabaabarute-akabaabi-warehouse-for-rent-around-cmc-addis-ababa-fAGmcXZ1P9PQhYWaWJPHVrHp.html?page=3&pos=2&cur_pos=2&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=49,Jiji Ethiopia
18,"3+ YEARS ON JIJI ETB 240,000 Yemikeryi Megzen የሚከራይ መጋዘን አለ 500 ካሬ ጠቅላላ 1100 አለ Unfurnished 500 sqm Addis Ababa, Akaky Kaliti",240000,https://pictures-ethiopia.jijistatic.com/3702337_MzAwLTEzNS1hMzQzZWY1NmMx.webp,https://jiji.com.et/akaky-kaliti/commercial-property-for-rent/yemikeryi-megzen-82B2ABKtjRAm2pP0LRkc2WlE.html?page=3&pos=5&cur_pos=5&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=52,Jiji Ethiopia
19,"3+ YEARS ON JIJI ETB 300,000 Ymikerayi Megezen Yemikerayi megezen HAYAT akebabi megezenu 600 kare biro aelu 3fez alau Unfurnished 3000 sqm Addis Ababa, Bole",300000,https://pictures-ethiopia.jijistatic.com/3571694_MzAwLTEzNS0wN2E0NWYzZjBh.webp,https://jiji.com.et/bole/commercial-property-for-rent/ymikerayi-megezen-BQWugQgJdbfsrA6mMnhUiuvi.html?page=3&pos=6&cur_pos=6&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=53,Jiji Ethiopia
20,"ETB 110,000 Warehouse for Rent in Lafto Area መጋዘን ኪራይ (ሰቶር ኪራይ ) warehouse for rent Total area = 450 sq Warehouse area=200 sq Nifas Silk Lafto... Unfurnished 450 sqm Addis Ababa, Nifas Silk-Lafto",110000,https://pictures-ethiopia.jijistatic.com/7670400_MzAwLTExMS0zMjU5ZTM5ZDdhLTE.webp,https://jiji.com.et/nifas-silk-lafto/commercial-property-for-rent/warehouse-for-rent-in-lafto-area-hSKHZDsTQKSuaSNrirLS7gVN.html?page=3&pos=9&cur_pos=9&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=56,Jiji Ethiopia
