id,title,location,property_type,listed_price_etb,listed_price_usd,size_sqm,bedrooms,bathrooms,amenities_count,completeness_score,description_length,risk_label,image_url,source_platform,listing_url,source_note
11,"ETB 175,000 Warehouse for Rent in Kaliti Aa Warehouse for rent Total area = 700 sq Warehou",Akaky Kaliti,Commercial,175000,3070,700,2,2,2,0.95,182,normal,https://pictures-ethiopia.jijistatic.com/7670357_MzAwLTE1OC0zZjRkN2M5NzRlLTE.webp,Jiji Ethiopia,https://jiji.com.et/akaky-kaliti/commercial-property-for-rent/warehouse-for-rent-in-kaliti-aa-jRDSL565Br0YeKMPxhNYJo3L.html?page=2&pos=6&cur_pos=6&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=29,Public listing data collected from Jiji Ethiopia for academic MVP demonstration. Private seller details excluded.
12,3+ YEARS ON JIJI DIAMOND,Bole,Apartment,120000,2105,100,3,3,2,0.95,210,normal,https://pictures-ethiopia.jijistatic.com/9503521_MzAwLTIyNS04Mzc0ZDY3NGEx.webp,Jiji Ethiopia,https://jiji.com.et/bole/houses-apartments-for-rent/furnished-3bdrm-apartment-in-bole-for-rent-nGe9nLGUOdEEdw2szd4gwmUn.html?page=2&pos=9&cur_pos=9&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=32,Public listing data collected from Jiji Ethiopia for academic MVP demonstration. Private seller details excluded.
13,3+ YEARS ON JIJI,Akaky Kaliti,Property,380000,6667,100,2,2,2,0.9,135,normal,https://pictures-ethiopia.jijistatic.com/8181767_MzAwLTEzNS1lY2EwNDQwNjA0.webp,Jiji Ethiopia,https://jiji.com.et/akaky-kaliti/commercial-property-for-rent/lakeraaye-yaqaraba-magaazane-nawu-ufstKWyWhfjtpUmoYmACzq3M.html?page=2&pos=11&cur_pos=11&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=34,Public listing data collected from Jiji Ethiopia for academic MVP demonstration. Private seller details excluded.
14,3+ YEARS ON JIJI,Bole,Property,320000,5614,100,2,2,2,0.9,114,normal,https://pictures-ethiopia.jijistatic.com/6256913_MzAwLTEzNS02NmQ2YzJhZTkw.webp,Jiji Ethiopia,https://jiji.com.et/bole/commercial-property-for-rent/yamikaraaye-magaazane-ala-l28UWYDyBVruuuscxL1om8s0.html?page=2&pos=14&cur_pos=14&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=37,Public listing data collected from Jiji Ethiopia for academic MVP demonstration. Private seller details excluded.
15,3+ YEARS ON JIJI DIAMOND,Bole,Apartment,70000,1228,100,2,2,2,0.95,207,normal,https://pictures-ethiopia.jijistatic.com/9428627_MzAwLTQwMC1kZmI3YjY3NDg4.webp,Jiji Ethiopia,https://jiji.com.et/bole/houses-apartments-for-rent/2bdrm-apartment-in-chaka-buna-bole-for-rent-19C4pep0XyXOCrSmeedfvyfX.html?page=2&pos=17&cur_pos=17&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=40,Public listing data collected from Jiji Ethiopia for academic MVP demonstration. Private seller details excluded.
16,3+ YEARS ON JIJI,Bole,Property,60000,1053,130,2,2,2,0.9,115,normal,https://pictures-ethiopia.jijistatic.com/3336248_MzAwLTY2Ny0zNDk3NWI2MmRj.webp,Jiji Ethiopia,https://jiji.com.et/bole/commercial-property-for-rent/lakeraaye-qaraba-magaazane-8yKkuoQNeBIvXfb0J5XE2qAQ.html?page=2&pos=20&cur_pos=20&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=43,Public listing data collected from Jiji Ethiopia for academic MVP demonstration. Private seller details excluded.
17,"ETB 190,000 የሚከራይ መጋዘን CMC የተባበሩት አከባቢ Warehouse for Rent Around CMC Addis Ababa Warehouse",Bole,Commercial,190000,3333,400,2,2,2,0.95,219,normal,https://pictures-ethiopia.jijistatic.com/8802227_MzAwLTE5OC1lNjZlZTAyOTIx.webp,Jiji Ethiopia,https://jiji.com.et/bole/commercial-property-for-rent/yamikaraaye-magaazane-cmc-yatabaabarute-akabaabi-warehouse-for-rent-around-cmc-addis-ababa-fAGmcXZ1P9PQhYWaWJPHVrHp.html?page=3&pos=2&cur_pos=2&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=49,Public listing data collected from Jiji Ethiopia for academic MVP demonstration. Private seller details excluded.
18,3+ YEARS ON JIJI,Akaky Kaliti,Property,240000,4211,500,2,2,2,0.9,125,normal,https://pictures-ethiopia.jijistatic.com/3702337_MzAwLTEzNS1hMzQzZWY1NmMx.webp,Jiji Ethiopia,https://jiji.com.et/akaky-kaliti/commercial-property-for-rent/yemikeryi-megzen-82B2ABKtjRAm2pP0LRkc2WlE.html?page=3&pos=5&cur_pos=5&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=52,Public listing data collected from Jiji Ethiopia for academic MVP demonstration. Private seller details excluded.
19,3+ YEARS ON JIJI,Bole,Property,300000,5263,3000,2,2,2,0.95,156,normal,https://pictures-ethiopia.jijistatic.com/3571694_MzAwLTEzNS0wN2E0NWYzZjBh.webp,Jiji Ethiopia,https://jiji.com.et/bole/commercial-property-for-rent/ymikerayi-megezen-BQWugQgJdbfsrA6mMnhUiuvi.html?page=3&pos=6&cur_pos=6&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=53,Public listing data collected from Jiji Ethiopia for academic MVP demonstration. Private seller details excluded.
20,"ETB 110,000 Warehouse for Rent in Lafto Area መጋዘን ኪራይ (ሰቶር ኪራይ ) warehouse for rent Total ",Nifas Silk-Lafto,Commercial,110000,1930,450,2,2,2,0.95,195,normal,https://pictures-ethiopia.jijistatic.com/7670400_MzAwLTExMS0zMjU5ZTM5ZDdhLTE.webp,Jiji Ethiopia,https://jiji.com.et/nifas-silk-lafto/commercial-property-for-rent/warehouse-for-rent-in-lafto-area-hSKHZDsTQKSuaSNrirLS7gVN.html?page=3&pos=9&cur_pos=9&ads_per_page=24&ads_count=5181&lid=238FLomGZ_2O8Ekz&indexPosition=56,Public listing data collected from Jiji Ethiopia for academic MVP demonstration. Private seller details excluded.
